v_bin,n_records,power_mean,power_std,power_p10,power_p90,v_mean,Cp,turbine_id
9.75,886,1247.8797040870281,95.31399331778728,1124.4582255045584,1369.3858715890483,9.500699821116239,0.4162317404592045,T05
10.25,1062,1390.6607918916513,92.2974538016834,1276.1592911783862,1507.4576825021345,9.996226532129148,0.3992325429494492,T05
10.75,1068,1532.530002590347,100.35972935077706,1400.8444311967771,1661.9751184082045,10.500328321965682,0.38138175561344184,T05
11.25,967,1659.7336615940133,100.32232066252914,1524.3643751743873,1788.8832031250024,11.001539785529863,0.3603770746901508,T05
11.75,1012,1769.6724784963508,104.2375424539491,1630.1779346865717,1897.5467009089562,11.502986638702534,0.3372528418354027,T05
12.25,901,1848.5639568476568,101.978796635005,1707.7130126953134,1973.7762409078675,11.999950931205074,0.31088698112779617,T05
12.75,825,1908.3124998203787,89.05348027727412,1786.4682324218768,2014.7209920247424,12.498114231763806,0.2846395614010465,T05
13.25,758,1948.8519429195405,78.20020444376702,1837.2348864746111,2036.195495984309,12.995193206429013,0.25900463283416636,T05
13.75,632,1977.336294187009,64.44023013125938,1895.64708943685,2043.3705879720067,13.486816440246484,0.23515204734865397,T05
14.25,607,1991.7089451567167,57.5165101858423,1917.0557311559614,2047.3112019856792,13.998875417502934,0.2127931294922357,T05
14.75,487,2004.8506685550467,49.95817206279897,1939.986031901044,2048.9370662434926,14.493776628119292,0.19314447507020568,T05
15.25,449,2012.338666516222,38.79078506676424,1962.3660359700534,2049.893937988283,15.01057816609117,0.17541545807697967,T05
15.75,386,2018.4801447113905,36.49664237516483,1974.6678973318535,2049.464232970123,15.480179345506533,0.1597199362476051,T05
16.25,301,2025.5046244001614,27.068637159713653,1992.26882324219,2049.513415527346,15.987822137630364,0.14593164026145994,T05
16.75,295,2031.312503590709,22.845770518683832,2001.8764176432314,2053.2640266927115,16.498525023168057,0.1336314338931988,T05
17.25,243,2030.3053985423653,23.329402608241015,2001.8451790364609,2049.973404947918,16.98639284476065,0.12228421276126215,T05
17.75,202,2035.997415324313,17.494502778723614,2012.5776896158861,2052.6548229980494,17.50137001461545,0.11255336173131192,T05
18.25,192,2038.2493855216826,15.929365725341523,2014.5094104003917,2053.661757405598,17.992839184140767,0.10366807506486082,T05
18.75,189,2036.1796024280425,20.930794141419568,2011.2481887571848,2053.94616800243,18.50762065924748,0.095496749014417,T05
19.25,158,2038.9524110106358,17.537643604012583,2020.264134774043,2055.821525878909,19.002196569640994,0.0883672233224412,T05
19.75,124,2042.6178276913133,13.445057037814736,2024.8139396158874,2056.852725016277,19.501891401795934,0.0819713596976372,T05
20.25,126,2043.6475622603598,19.53744924303707,2023.9403726890625,2059.737119234527,20.00496566146176,0.07608643567569637,T05
20.75,79,2045.9499785223309,13.506695791752904,2028.4182739257828,2060.4244829269956,20.496927158471113,0.07079735441820724,T05
21.25,79,2043.1610603344095,19.78728730939627,2019.9379051994572,2060.089847819012,21.006446299331767,0.06582670559368296,T05
21.75,66,2046.3904226549855,11.591521780521605,2032.4114866760979,2061.566497802736,21.470086157399994,0.06148752774705739,T05
22.25,46,2046.9018877371639,23.351378157063017,2037.0392232259155,2059.9720865885456,21.96971542623205,0.057449109524379344,T05
22.75,41,2050.31616265349,8.335796538854394,2038.55002034505,2060.63192952474,22.43693290385963,0.05383354172308456,T05
23.25,28,2053.6281762434764,6.459669902353766,2045.2357368977885,2061.0049475097685,23.00520822636331,0.050516035930170775,T05
23.75,12,2048.2936763088223,19.735887581943526,2028.9267279824478,2064.6963741048207,23.497695077911704,0.0472691402391572,T05
24.25,8,2049.7209676106804,13.390685390934587,2040.4792822265676,2059.284193115239,23.96926517920405,0.04443608980111893,T05
24.75,5,2032.4422014363627,52.04814061475418,1981.0461355590837,2061.4570320638036,24.609253864389785,0.04144469185847675,T05
1.25,221,-1.3026452723621107,0.6889445528353668,-2.248880352576573,-0.7188023527463278,1.121171359606204,,T06
1.75,687,-1.4266911924218062,0.6824128744468017,-2.3677441668510433,-0.7800775923400086,1.526384629994013,,T06
2.25,1264,-1.724795525466719,0.78388090509886,-2.833489670952161,-0.8604645687664668,2.0225366890766416,,T06
2.75,2039,-1.9885441465499087,0.9984221935015167,-3.3736573513348898,-1.1767587471008305,2.5162189110240916,,T06
3.25,2044,-2.054989533548785,2.6336978353473,-3.956325629250757,-1.2828896991411851,2.9893964448253225,,T06
3.75,2183,8.54645305756761,12.921030641318442,-3.740560699701309,27.01369068940481,3.5076688866074153,0.0501035420468805,T06
4.25,2791,47.8413538547946,24.00817518416907,17.29401408334574,79.3833964117642,4.001220685478823,0.19266950954953896,T06
4.75,2930,99.96794203272673,30.202979224052704,60.97815688560408,138.92310824076327,4.502935559227603,0.2883740943754961,T06
